"","match_clock","quarter","quarter_clock","shot_clock","shot_outcome","shooter_X","shooter_Y","defender_lastname","defender_firstname","player_distance","defender_height","shot_dist","def_angle","LeftOrRight","def_reyting","distance","rowNum"
"1",2791.81,1,631.81,18.38,0,29.25529,38.54671,"Davis","Anthony",6.343738971,208,27.56387672,5.365498119,"1",104,0.526379499208951,"1L"
"2",2717.18,1,557.18,19.9,1,32.06145,34.13058,"Robinson","Nate",6.53851491628642,175,28.3235121804994,16.1636970891901,"1",113,0.485517502200044,"2L"
"3",2465.26,1,305.26,20.11,1,29.29856,39.24411,"Smith","Ish",5.35816166434907,183,27.9504545180521,9.29255859073024,"1",110,0.479042326925418,"3L"
"4",2349.33,1,189.33,10.74,0,30.45367,30.92155,"Ajinca","Alexis",11.1778601969429,218,25.8899543427832,6.59088806490007,"1",107,0.630248261405511,"4L"
"5",2551.37,1,391.37,18.91,0,60.85392,27.07319,"Smith","Ish",7.63784205493279,183,27.9730119247553,48.8025631723913,"1",110,0.480070302896393,"5L"
"6",1274.92,3,554.92,3.79,1,29.12455,38.70614,"Davis","Anthony",5.894693819,208,27.52911934,0.4403448127,"1",104,0.747175090499255,"6L"
"7",1211.79,3,491.79,11.12,1,16.29373,47.35317,"Babbitt","Luke",5.62590230674156,206,24.9324724277758,5.50207579936232,"1",112,0.520140732047189,"7L"
"8",134.3,4,134.3,6.46,1,31.65574,35.76289,"Babbitt","Luke",4.48982210365845,206,28.5149593389102,13.3573922059639,"1",112,0.607598406612094,"8L"
"9",2648.64,1,488.64,18.29,0,28.96831,18.25067,"Conley","Mike",2.12372837879518,185,24.6599206143288,112.749881658694,"1",110,0.420379027833591,"9L"
"10",2538.5,1,378.5,18.98,0,24.10209,43.01778,"Lee","Courtney",6.62929211041421,196,26.0776090448588,23.5601656450439,"1",109,0.482727495389129,"10L"
"11",1268.44,3,548.44,15.27,1,72.14334,7.87177,"Conley","Mike",4.49272776153864,185,23.8570203355008,31.0797236564021,"1",110,0.357466323951744,"11L"
"12",2025.13,2,585.13,16.4,1,31.15086,31.815,"Rivers","Austin",8.85790671859893,193,26.7824340518109,57.384137369741,"1",107,0.608198115938,"12L"
"13",1800,2,360,15.02,0,3.82879,47.35031,"Paul","Chris",10.3197968507137,183,22.3954503183169,5.02686390748923,"1",103,0.699603773997456,"13L"
"14",335.05,4,335.05,15.86,1,68.01812,10.8961,"Jordan","DeAndre",6.45960042288995,211,25.0745058484589,9.12542868912631,"1",98,0.493045060548802,"14L"
"15",299.42,4,299.42,16.73,1,64.61154,26.74645,"Jordan","DeAndre",2.93830659334589,211,24.2015565361838,21.9839631437667,"1",98,0.426478555055494,"15L"
"16",2412.42,1,252.42,19.11,1,32.4276,35.0695,"Gallinari","Danilo",5.88337081752459,208,28.9830428355961,18.5040528662872,"1",111,0.43054846373998,"16L"
"17",2336.06,1,176.06,6.68,1,29.0469,31.06472,"Foye","Randy",6.68296220597573,193,24.5575503315864,151.803352187088,"1",111,0.684671956866613,"17L"
"18",1509.67,2,69.67,18.05,1,17.09164,4.13537,"Gallinari","Danilo",3.71468682039281,208,23.9907737042076,86.1770621136499,"1",111,0.361193503150227,"18L"
"19",1467.55,2,27.55,13.43,1,16.51473,47.96757,"Barton","Will",5.40169919733596,198,25.5813098507055,11.2714938666184,"1",108,0.57109408475444,"19L"
"20",1366.15,3,646.15,20.57,0,65.05396,11.46716,"Mudiay","Emmanuel",5.3177572942924,196,27.2880939266047,4.63077621597203,"1",110,0.321234403471531,"20L"
