"","def_reyting","def_position"
"1",NA,NA
"2",113,"PG"
"3",110,"PG"
"4",110,"PG"
"5",NA,NA
"6",107,"C"
"7",113,"PG"
"8",110,"PG"
"9",112,"PF"
"10",112,"PF"
"11",112,"PF"
"12",NA,NA
"13",110,"PG"
"14",109,"PG"
"15",110,"PG"
"16",109,"PG"
"17",NA,NA
"18",112,"SF"
"19",NA,NA
"20",110,"SF"
"21",109,"PG"
"22",112,"SF"
"23",110,"PG"
"24",109,"SG"
"25",107,"PF"
"26",105,"SG"
"27",110,"PG"
"28",NA,NA
"29",110,"PG"
"30",107,"SG"
"31",109,"SG"
"32",103,"PG"
"33",103,"PF"
"34",103,"PF"
"35",107,"SF"
"36",98,"C"
"37",98,"C"
"38",98,"C"
"39",110,"PG"
"40",112,"PG"
"41",111,"SG"
"42",111,"SF"
"43",111,"SG"
"44",111,"SG"
"45",111,"SF"
"46",108,"SG"
"47",110,"PG"
"48",110,"PG"
"49",110,"PG"
"50",111,"SF"
"51",108,"SG"
"52",108,"PF"
"53",107,"PG"
"54",108,"SF"
"55",107,"PG"
"56",107,"C"
"57",107,"PG"
"58",111,"SG"
"59",111,"SG"
"60",107,"PG"
"61",107,"C"
"62",108,"PG"
"63",NA,NA
"64",NA,NA
"65",98,"C"
"66",107,"SG"
"67",107,"SG"
"68",107,"SG"
"69",109,"SG"
"70",105,"SG"
"71",109,"SG"
"72",104,"PG"
"73",105,"SG"
"74",112,"SG"
"75",112,"SG"
"76",112,"SG"
"77",NA,NA
"78",114,"SF"
"79",112,"SG"
"80",NA,NA
"81",113,"SF"
"82",NA,NA
"83",106,"C"
"84",106,"C"
"85",111,"PG"
"86",NA,NA
"87",112,"PG"
"88",107,"PF"
"89",112,"PG"
"90",115,"C"
"91",112,"PG"
"92",112,"PG"
"93",112,"PG"
"94",112,"PG"
"95",105,"SF"
"96",112,"PG"
"97",112,"PG"
"98",113,"SG"
"99",113,"SG"
"100",104,"PG"
"101",108,"SG"
"102",104,"PG"
"103",104,"PG"
"104",106,"PF"
"105",104,"PG"
"106",107,"PF"
"107",108,"SG"
"108",103,"PF"
"109",109,"SG"
"110",NA,NA
"111",NA,NA
"112",103,"PF"
"113",107,"SG"
"114",107,"SG"
"115",103,"PF"
"116",103,"PF"
"117",109,"SG"
"118",101,"C"
"119",104,"PF"
"120",NA,NA
"121",109,"PG"
"122",109,"SF"
"123",101,"C"
"124",106,"SG"
"125",104,"PF"
"126",111,"SG"
"127",111,"SG"
"128",108,"PF"
"129",111,"SF"
"130",111,"SG"
"131",111,"SG"
"132",108,"PF"
"133",108,"PF"
"134",114,"SG"
"135",114,"SG"
"136",111,"PF"
"137",114,"SG"
"138",114,"SG"
"139",114,"SG"
"140",113,"SF"
"141",101,"C"
"142",107,"PG"
"143",112,"SG"
"144",110,"SF"
"145",108,"PG"
"146",107,"PG"
"147",107,"PG"
"148",NA,NA
"149",NA,NA
"150",110,"SF"
"151",110,"PF"
"152",108,"PG"
"153",107,"PG"
"154",108,"SF"
"155",111,"SG"
"156",107,"C"
"157",112,"PG"
"158",108,"SF"
"159",106,"PG"
"160",106,"PG"
"161",107,"SG"
"162",105,"SF"
"163",107,"SG"
"164",99,"C"
"165",101,"PF"
"166",NA,NA
"167",108,"PG"
"168",NA,NA
"169",102,"C"
"170",NA,NA
"171",NA,NA
"172",NA,NA
"173",105,"SF"
"174",NA,NA
"175",NA,NA
