"","match_id","match_clock","quarter","quarter_clock","shot_clock","shooter_id","shooter_lastname","shooter_firstname","shooter_team_id","event_id","shot_outcome","shooter_X","shooter_Y","defender_id","defender_lastname","defender_firstname","defender_team_id","defender_X","defender_Y","distance","shooter_height","defender_height","height_difference","shot_dist","def_angle","LeftOrRight"
"1","0021500084",2804.06,1,644.06,12.05,201158,"Belinelli","Marco",1610612758,12,0,87.84342,2.63947,"201951","Lawson","Ty",1610612745,88.95642,9.76848,7.21536919222433,196,180,16,22.3789005354888,6.55182196803122,"Left"
"2","0021500084",2794.87,1,634.87,17.33,2772,"Ariza","Trevor",1610612745,13,0,20.50523,5.48878,"201158","Belinelli","Marco",1610612758,16.13526,14.99217,10.4599741535532,203,196,7,24.7671102117566,13.3262505974872,"Right"
"3","0021500084",2770.75,1,610.75,2.39,200765,"Rondo","Rajon",1610612758,16,0,85.76396,2.51859,"201951","Lawson","Ty",1610612745,89.3219,19.39195,17.2443966184149,185,180,5,22.6788498489165,4.34114847733231,"Left"
"4","0021500084",2763.39,1,603.39,19,201977,"Thornton","Marcus",1610612745,19,1,13.93409,47.73105,"202341","Anderson","James",1610612758,9.60531,38.23417,10.4369088346502,193,198,-5,24.3333937877683,3.59532839819298,"Left"
"5","0021500084",2748.95,1,588.95,14.05,202341,"Anderson","James",1610612758,19,0,74.13627,44.88982,"201977","Thornton","Marcus",1610612745,80.24993,37.39176,9.67459261980576,198,193,5,24.6812893533806,2.88662213228742,"Right"
"6","0021500084",2695.23,1,535.23,15.33,201977,"Thornton","Marcus",1610612745,24,1,11.05038,48.52529,"202341","Anderson","James",1610612758,10.88424,30.53048,17.9955769408958,193,198,-5,24.2298096923707,13.3215772018936,"Left"
"7","0021500084",2635.06,1,475.06,14.8,2772,"Ariza","Trevor",1610612745,33,0,7.94206,3.09162,"200752","Gay","Rudy",1610612758,12.11827,10.28511,8.31787402791122,203,203,0,22.0731579360091,37.1427622785352,"Right"
"8","0021500084",2577.74,1,417.74,12.24,201158,"Belinelli","Marco",1610612758,46,0,89.65344,47.87296,"201977","Thornton","Marcus",1610612745,86.35758,39.96192,8.57013693129812,196,193,3,22.8907951586484,20.3554528052391,"Right"
"9","0021500084",2489.5,1,329.5,11.12,201977,"Thornton","Marcus",1610612745,68,0,4.85415,47.17277,"201956","Casspi","Omri",1610612758,6.80489,43.53854,4.12468353216341,193,206,-13,22.1763032693774,27.2027083351833,"Left"
"10","0021500084",2321.58,1,161.58,9.2,1891,"Terry","Jason",1610612745,112,0,7.66352,3.24262,"200765","Rondo","Rajon",1610612758,7.9522,5.74753,2.52148968875544,188,185,3,21.8908351429268,12.903960564984,"Right"
"11","0021500084",2241.29,1,81.29,17.51,201977,"Thornton","Marcus",1610612745,137,1,11.60361,3.62845,"201956","Casspi","Omri",1610612758,10.5913,13.14208,9.56733647955375,193,206,-13,22.2959976102125,10.4830630373196,"Right"
"12","0021500084",2193.84,1,33.84,19.24,201956,"Casspi","Omri",1610612758,146,1,72.50886,5.97103,"201147","Brewer","Corey",1610612745,75.60924,11.89684,6.68786814317537,206,206,0,25.0175204159105,12.8620714767977,"Left"
"13","0021500084",2060.77,2,620.77,18.78,201977,"Thornton","Marcus",1610612745,162,0,9.93299,3.02525,"201158","Belinelli","Marco",1610612758,18.35593,11.45892,11.9194256536337,193,196,-3,22.4682004820724,56.9937420309722,"Right"
"14","0021500084",1896.68,2,456.68,13.8,201935,"Harden","James",1610612745,198,0,24.48609,40.95151,"201954","Collison","Darren",1610612758,18.16089,37.25133,7.32799338648719,196,183,13,24.9895544131583,9.33997327383195,"Left"
"15","0021500084",1888.4,2,448.4,17.89,201954,"Collison","Darren",1610612758,198,1,89.37421,2.70047,"201935","Harden","James",1610612745,87.51879,7.9971,5.61220747418518,183,196,-13,22.308264754234,17.7020502047332,"Left"
"16","0021500084",1813.02,2,373.02,20.11,201977,"Thornton","Marcus",1610612745,217,0,20.01486,5.13309,"201158","Belinelli","Marco",1610612758,16.80318,11.93187,7.51919529675882,193,196,-3,24.7526807390169,11.3336971294462,"Right"
"17","0021500084",1794.05,2,354.05,14.14,201951,"Lawson","Ty",1610612745,218,1,15.69579,3.79395,"203463","McLemore","Ben",1610612758,11.73092,7.87598,5.69062061973912,180,196,-16,23.6391853778128,17.9416701329446,"Right"
"18","0021500084",1678.73,2,238.73,13.2,201158,"Belinelli","Marco",1610612758,242,0,63.04016,26.39886,"201951","Lawson","Ty",1610612745,66.97183,28.95038,4.68703352871515,196,180,16,25.7478675257816,36.0965635305127,"Left"
"19","0021500084",1642.31,2,202.31,11.5,201158,"Belinelli","Marco",1610612758,250,0,62.81379,16.91649,"201935","Harden","James",1610612745,69.30759,17.8722,6.56375045565415,196,196,0,27.1667098317813,8.93836043702066,"Left"
"20","0021500084",1602.37,2,162.37,20.89,201956,"Casspi","Omri",1610612758,261,0,60.49029,25.27267,"2772","Ariza","Trevor",1610612745,70.86823,25.14572,10.3787164402011,206,203,3,28.2610254274858,0.148032154428137,"Right"
"21","0021500084",1592.85,2,152.85,17.35,201935,"Harden","James",1610612745,263,0,33.21933,16.86614,"200765","Rondo","Rajon",1610612758,28.221,21.91191,7.10233044020059,196,185,11,29.1280466071534,29.0554694304153,"Right"
"22","0021500084",1523.78,2,83.78,8.28,201954,"Collison","Darren",1610612758,270,0,67.21068,11.10826,"201935","Harden","James",1610612745,72.5626,15.93629,7.20783749589987,183,196,-13,25.6305042145097,9.23408111487043,"Left"
"23","0021500084",1486.16,2,46.16,9.26,201935,"Harden","James",1610612745,281,1,16.29468,49.15564,"201954","Collison","Darren",1610612758,13.71901,43.91621,5.8382962132629,196,183,13,26.5608715992529,1.60713914776573,"Left"
"24","0021500084",1381.9,3,661.9,0.99,200765,"Rondo","Rajon",1610612758,303,0,7.84291,1.89557,"201951","Lawson","Ty",1610612745,8.44858,6.61092,4.75408895282787,185,180,5,23.2494702712341,13.7226270487881,"Right"
"25","0021500084",1361.74,3,641.74,6.72,201977,"Thornton","Marcus",1610612745,302,0,90.6359,2.32877,"201585","Koufos","Kosta",1610612758,88.88958,14.24201,12.040553178322,193,213,-20,22.7495338089135,3.58420871871381,"Left"
"26","0021500084",1319.65,3,599.65,12.17,2772,"Ariza","Trevor",1610612745,308,1,65.39082,17.24825,"201158","Belinelli","Marco",1610612758,73.133,18.70781,7.8785573899033,203,196,7,24.6118044510129,7.68230654925158,"Left"
"27","0021500084",1284.06,3,564.06,11.53,2772,"Ariza","Trevor",1610612745,316,1,65.96566,14.4061,"201585","Koufos","Kosta",1610612758,69.77578,20.81217,7.45350570264087,203,213,-10,25.126815684555,34.3204724123821,"Left"
"28","0021500084",1250.16,3,530.16,12.58,2772,"Ariza","Trevor",1610612745,322,0,85.14115,47.81434,"201158","Belinelli","Marco",1610612758,78.74219,41.05911,9.30482785625291,203,196,7,23.0980065797484,52.4373351213343,"Right"
"29","0021500084",1218.06,3,498.06,10.44,202341,"Anderson","James",1610612758,328,0,21.82691,6.10244,"201935","Harden","James",1610612745,15.08139,8.82364,7.27371772276049,198,196,2,25.1378543058412,26.7732455011483,"Right"
"30","0021500084",1211.18,3,491.18,19.77,201977,"Thornton","Marcus",1610612745,328,0,69.8421,41.20198,"201158","Belinelli","Marco",1610612758,74.85799,35.94753,7.26418593474864,193,196,-3,24.9000569945211,5.73770644382096,"Right"
"31","0021500084",1140.92,3,420.92,13.37,201977,"Thornton","Marcus",1610612745,342,0,83.46443,47.19561,"201158","Belinelli","Marco",1610612758,82.9316,37.22741,9.98243051811031,193,196,-3,22.8162738740794,16.4544169865492,"Right"
"32","0021500084",1119.28,3,399.28,16.88,201951,"Lawson","Ty",1610612745,343,1,86.26024,1.91049,"200752","Gay","Rudy",1610612758,86.35065,9.51271,7.6027575850148,180,203,-23,23.223358432787,5.47310632627476,"Left"
"33","0021500084",1087.56,3,367.56,20.19,202341,"Anderson","James",1610612758,348,0,25.01187,8.94419,"201935","Harden","James",1610612745,31.78751,16.86056,10.4200869183755,198,196,2,25.4621393573478,91.4676777031531,"Right"
"34","0021500084",1082.92,3,362.92,22.02,202341,"Anderson","James",1610612758,352,0,27.26361,7.85173,"101236","Hayes","Charles",1610612745,24.12366,20.96512,13.4840751738708,198,NA,NA,27.9045191541621,38.6162258916304,"Right"
"35","0021500084",1075.04,3,355.04,18.39,201951,"Lawson","Ty",1610612745,353,1,71.48183,7.03855,"200765","Rondo","Rajon",1610612758,84.9373,16.57718,16.4934876602191,180,185,-5,24.9159262571432,10.7944103212001,"Left"
"36","0021500084",1015.94,3,295.94,5.61,201935,"Harden","James",1610612745,371,1,74.80674,45.29305,"200752","Gay","Rudy",1610612758,74.95634,40.71604,4.57945419237926,196,203,-7,24.6215835747845,32.6207245150139,"Right"
"37","0021500084",980.31,3,260.31,7.75,201935,"Harden","James",1610612745,376,0,85.39558,47.39683,"203463","McLemore","Ben",1610612758,84.63717,41.19517,6.24786143281844,196,196,0,22.6466361207421,15.4901589965257,"Right"
"38","0021500084",969.39,3,249.39,15.39,203463,"McLemore","Ben",1610612758,378,0,3.92579,2.51938,"1626149","Harrell","Montrezl",1610612745,7.35294,10.10436,8.3232973467791,196,203,-7,22.5195872011123,20.9439739611252,"Right"
"39","0021500084",912.57,3,192.57,16.25,203463,"McLemore","Ben",1610612758,403,0,23.0551,7.29367,"201147","Brewer","Corey",1610612745,16.09832,11.48673,8.12271753368292,196,206,-10,25.1104700887678,13.7620095193995,"Right"
"40","0021500084",856.56,3,136.56,14.43,1891,"Terry","Jason",1610612745,412,0,82.82888,1.2365,"201954","Collison","Darren",1610612758,84.50662,12.55996,11.4470763900308,188,183,5,24.4900713413497,5.56349398523062,"Left"
"41","0021500084",757.01,3,37.01,16.22,201956,"Casspi","Omri",1610612758,440,1,34.30081,30.46428,"201977","Thornton","Marcus",1610612745,24.36154,28.01009,10.2377798710951,206,193,13,29.5602421771964,3.21743033455733,"Left"
"42","0021500084",734.01,3,14.01,3.21,201951,"Lawson","Ty",1610612745,446,0,69.98473,39.7924,"203552","Curry","Seth",1610612758,73.69855,41.44122,4.06338115179957,180,188,-8,23.8945695908694,62.187943613492,"Left"
"43","0021500084",677.05,4,677.05,20.12,203552,"Curry","Seth",1610612758,455,1,11.61916,2.7864,"201935","Harden","James",1610612745,9.77846,9.91462,7.36204433961111,188,196,-8,23.1086612348184,1.51980792882225,"Right"
"44","0021500084",660.57,4,660.57,11.97,2772,"Ariza","Trevor",1610612745,456,0,81.01953,46.97669,"201954","Collison","Darren",1610612758,77.89953,41.16306,6.59793102244181,203,183,20,23.2966750798692,47.6008300905045,"Right"
"45","0021500084",604.65,4,604.65,12.5,203552,"Curry","Seth",1610612758,465,1,27.28926,35.64216,"201977","Thornton","Marcus",1610612745,22.10252,36.96722,5.35332194354123,188,193,-5,24.4741608806758,40.105505110752,"Right"
"46","0021500084",567.08,4,567.08,17.44,201935,"Harden","James",1610612745,476,1,68.40678,39.80214,"203463","McLemore","Ben",1610612758,69.45384,34.97794,4.93652107091624,196,196,0,25.1584965478464,41.7138736552431,"Right"
"47","0021500084",519.36,4,519.36,2.76,203463,"McLemore","Ben",1610612758,480,0,24.55779,7.70023,"201935","Harden","James",1610612745,21.95031,12.7107,5.64834148855219,196,196,0,25.9243668531557,20.6469247849706,"Right"
"48","0021500084",501.2,4,501.2,13.69,2772,"Ariza","Trevor",1610612745,484,1,72.457,43.11526,"201956","Casspi","Omri",1610612758,75.49485,36.75226,7.0509787705325,203,206,-3,24.3644103944175,16.4475128128026,"Right"
"49","0021500084",453.49,4,453.49,10.49,201951,"Lawson","Ty",1610612745,494,0,88.29469,47.79485,"201956","Casspi","Omri",1610612758,83.77201,42.18223,7.20806060232571,180,206,-26,22.799396784095,40.0063457896885,"Right"
"50","0021500084",377.45,4,377.45,11.96,201935,"Harden","James",1610612745,512,0,66.04411,39.14683,"200752","Gay","Rudy",1610612758,68.18472,36.62745,3.30597742831072,196,203,-7,26.7523875521606,17.7220254291893,"Right"
"51","0021500084",361.81,4,361.81,10.92,200752,"Gay","Rudy",1610612758,516,1,9.77415,48.09649,"201935","Harden","James",1610612745,8.27205,35.00313,13.1792405130038,203,196,7,23.5354155166761,4.53830610855412,"Left"
"52","0021500084",342.97,4,342.97,10.24,201935,"Harden","James",1610612745,517,0,87.9066,48.00859,"201956","Casspi","Omri",1610612758,84.17599,44.10734,5.39788871083871,196,206,-10,23.0240425935173,45.8184298015446,"Right"
"53","0021500084",297.22,4,297.22,4.87,201977,"Thornton","Marcus",1610612745,522,1,85.23088,2.15375,"203552","Curry","Seth",1610612758,84.21474,7.06656,5.01679604884432,193,188,5,23.1156947686393,20.4427021157502,"Left"
"54","0021500084",252.1,4,252.1,8.59,2772,"Ariza","Trevor",1610612745,530,1,87.68708,3.04182,"203552","Curry","Seth",1610612758,81.12838,10.55266,9.97142232560631,203,188,15,21.9838910986841,43.8998052304542,"Left"
"55","0021500084",206.03,4,206.03,0.83,201951,"Lawson","Ty",1610612745,542,0,86.85124,47.47934,"201954","Collison","Darren",1610612758,86.62667,44.87517,2.6138349362192,180,183,-3,22.5593886524702,9.75683103513509,"Right"
"56","0021500084",161.88,4,161.88,3.27,201935,"Harden","James",1610612745,546,0,69.20442,40.75116,"1626161","Cauley-Stein","Willie",1610612758,72.19011,35.17462,6.32551524760632,196,213,-17,25.1023652049364,22.9710859125367,"Right"
"57","0021500084",149.23,4,149.23,15.03,200752,"Gay","Rudy",1610612758,547,0,6.87432,48.21999,"2772","Ariza","Trevor",1610612745,9.84304,41.61022,7.24585108122573,203,203,0,23.276734115045,28.1883352505844,"Left"
"58","0021500084",60.36,4,60.36,1.76,201935,"Harden","James",1610612745,571,1,76.79058,46.52434,"200752","Gay","Rudy",1610612758,76.95416,41.39424,5.13270731937834,196,203,-7,24.623666241484,27.2312275904083,"Right"
"59","0021500084",27.24,4,27.24,20.34,201954,"Collison","Darren",1610612758,598,0,28.30903,15.79768,"201951","Lawson","Ty",1610612745,24.65699,14.40228,3.9095443879818,183,180,3,24.8274355889468,42.6670347725745,"Left"
