"","player","height","weight","birth_year"
"1","Kenny Anderson",183,76,1970
"2","Terrell Brandon",180,81,1970
"3","Sean Green",196,95,1970
"4","Stanley Roberts",213,129,1970
"5","Eric Anderson",206,99,1970
"6","Alex Blackwell",198,113,1970
"7","Dexter Cambridge",201,101,1970
"8","Doug Christie",198,90,1970
"9","Hubert Davis",196,83,1970
"10","Todd Day",198,85,1970
"11","Richard Dumas",190,77,1970
"12","LaPhonso Ellis",203,108,1970
"13","Litterial Green",185,83,1970
"14","Robert Horry",206,99,1970
"15","Stephen Howard",206,102,1970
"16","Jim Jackson",198,99,1970
"17","Dave Johnson",201,95,1970
"18","Adam Keefe",206,104,1970
"19","Sam Mack",201,99,1970
"20","Don MacLean",208,106,1970
"21","Lee Mayberry",185,78,1970
"22","Oliver Miller",206,127,1970
"23","Harold Miner",196,95,1971
"24","Alonzo Mourning*",208,108,1970
"25","Tracy Murray",201,102,1971
"26","Shaquille O'Neal*",216,147,1972
"27","Malik Sealy",203,86,1970
"28","Reggie Smith",208,108,1970
"29","Latrell Sprewell",196,86,1970
"30","Bryant Stith",196,94,1970
"31","Clarence Weatherspoon",198,108,1970
"32","Marcus Webb",206,115,1970
"33","Robert Werdann",211,113,1970
"34","Corey Williams",188,86,1970
"35","Randy Woods",178,83,1970
"36","Vin Baker",211,105,1971
"37","Shawn Bradley",229,106,1972
"38","P.J. Brown",229,106,1972
"39","Evers Burns",203,117,1971
"40","Scott Burrell",201,98,1971
"41","Calbert Cheaney",201,94,1971
"42","Terry Dehere",188,86,1971
"43","Dell Demps",190,92,1970
"44","Acie Earl",208,108,1970
"45","Bill Edwards",203,97,1971
"46","Doug Edwards",201,99,1971
"47","Harold Ellis",196,90,1970
"48","Alphonso Ford",185,86,1971
"49","Greg Graham",193,78,1970
"50","Anfernee Hardaway",201,88,1971
"51","Lucious Harris",196,86,1970
"52","Antonio Harvey",211,102,1970
"53","Scott Haskin",211,113,1970
"54","Allan Houston",198,90,1971
"55","Lindsey Hunter",188,77,1970
"56","Bobby Hurley",183,74,1971
"57","Stanley Jackson",190,83,1970
"58","Chris Jent",201,99,1970
"59","Popeye Jones",203,113,1970
"60","Adonis Jordan",180,77,1970
"61","Warren Kidd",206,106,1970
"62","George Lynch",203,98,1970
"63","Malcolm Mackey",206,112,1970
"64","Jamal Mashburn",203,108,1972
"65","Darnell Mee",196,79,1971
"66","Chris Mills",198,97,1970
"67","Gheorghe Muresan",231,137,1971
"68","Bo Outlaw",203,95,1971
"69","Mike Peplowski",208,122,1970
"70","Isaiah Rider",196,97,1971
"71","Eric Riley",213,111,1970
"72","Rodney Rogers",201,106,1971
"73","Bryon Russell",201,102,1970
"74","Kevin Thompson",211,117,1971
"75","Keith Tower",211,113,1970
"76","Nick Van",211,113,1970
"77","Rex Walters",193,86,1970
"78","Chris Webber",206,111,1973
"79","Matt Wenstrom",216,113,1970
"80","David Wesley",183,86,1970
"81","Chris Whitney",183,76,1971
"82","Aaron Williams",206,99,1971
"83","Luther Wright",218,122,1971
"84","Derrick Alston",211,102,1972
"85","Elmer Bennett",183,77,1970
"86","Tim Breaux",201,97,1970
"87","Bill Curley",206,99,1972
"88","Yinka Dare",213,120,1972
"89","Tony Dumas",198,86,1972
"90","Howard Eisley",188,80,1972
"91","Brian Grant",206,115,1972
"92","Darrin Hancock",201,92,1971
"93","Grant Hill",203,102,1972
"94","Juwan Howard",206,108,1973
"95","Askia Jones",196,90,1971
"96","Jason Kidd",193,92,1973
"97","Ryan Lorthridge",193,86,1972
"98","Donyell Marshall",206,98,1973
"99","Darrick Martin",180,77,1971
"100","Jim McIlvaine",216,108,1972
"101","Aaron McKie",196,94,1972
"102","Anthony Miller",206,102,1971
"103","Greg Minor",198,95,1971
"104","Eric Mobley",211,106,1970
"105","Eric Montross",213,122,1971
"106","Dwayne Morton",201,88,1971
"107","Lamond Murray",201,107,1973
"108","Ivano Newbill",206,111,1970
"109","Julius Nwosu",208,115,1971
"110","Wesley Person",198,88,1971
"111","Derrick Phelps",193,82,1972
"112","Eric Piatkowski",201,97,1970
"113","Khalid Reeves",190,90,1972
"114","Glenn Robinson",201,102,1973
"115","Carlos Rogers",211,99,1971
"116","Jalen Rose",203,95,1973
"117","Clifford Rozier",211,111,1972
"118","Trevor Ruffin",185,83,1970
"119","Dickey Simpkins",206,112,1972
"120","Reggie Slater",201,97,1970
"121","Mark Strickland",206,95,1970
"122","Aaron Swinson",196,104,1971
"123","Zan Tabak",213,111,1970
"124","Brooks Thompson",193,87,1970
"125","Fred Vinson",193,86,1971
"126","Charlie Ward",188,86,1970
"127","Jamie Watson",201,86,1972
"128","Monty Williams",203,102,1971
"129","Dontonio Wingfield",203,116,1974
"130","Sharone Wright",211,117,1973
"131","Cory Alexander",185,83,1973
"132","Jerome Allen",193,83,1973
"133","John Amaechi",208,122,1970
"134","Ashraf Amaya",203,104,1971
"135","Brent Barry",198,83,1971
"136","Corey Beck",185,86,1971
"137","Mario Bennett",198,106,1973
"138","Travis Best",180,82,1972
"139","Melvin Booker",185,83,1972
"140","Donnie Boyce",196,88,1973
"141","Marques Bragg",203,104,1970
"142","Junior Burrough",203,109,1973
"143","Jason Caffey",203,115,1973
"144","Chris Carr",196,93,1974
"145","Randolph Childress",188,85,1972
"146","Robert Churchwell",198,88,1972
"147","Charles Claxton",213,120,1970
"148","John Coker",213,114,1971
"149","Rastko Cvetkovic",216,117,1970
"150","Sasha Danilovic",196,90,1970
"151","Andrew DeClercq",208,104,1973
"152","Tyus Edney",178,68,1973
"153","Michael Finley",201,97,1973
"154","Sherell Ford",201,95,1972
"155","Kevin Garnett",211,108,1976
"156","Anthony Goldwire",185,82,1971
"157","Thomas Hamilton",218,149,1975
"158","Alan Henderson",206,106,1972
"159","Fred Hoiberg",193,92,1972
"160","Darryl Johnson",201,95,1970
"161","Frankie King",185,83,1972
"162","Voshon Lenard",193,92,1973
"163","Martin Lewis",196,95,1975
"164","Rich Manning",211,114,1970
"165","Donny Marshall",206,98,1973
"166","Cuonzo Martin",196,96,1971
"167","Clint McDaniel",193,81,1972
"168","Antonio McDyess",206,99,1974
"169","Loren Meyer",208,116,1972
"170","Lawrence Moten",196,83,1972
"171","Todd Mundt",213,113,1970
"172","Howard Nathan",180,79,1972
"173","Ed O'Bannon",203,100,1972
"174","Greg Ostertag",218,127,1973
"175","Cherokee Parks",196,95,1973
"176","Theo Ratliff",208,102,1973
"177","Bryant Reeves",213,124,1973
"178","Don Reid",203,113,1973
"179","Terrence Rencher",190,83,1973
"180","Shawn Respert",185,88,1972
"181","Lou Roe",201,99,1972
"182","Eric Snow",190,86,1973
"183","Jerry Stackhouse",198,98,1974
"184","Damon Stoudamire",178,77,1973
"185","Bob Sura",196,90,1973
"186","Larry Sykes",206,115,1973
"187","Kurt Thomas",206,104,1972
"188","Gary Trent",203,113,1974
"189","Logan Vander",203,97,1971
"190","Rasheed Wallace",208,102,1974
"191","Jeff Webster",203,105,1971
"192","Dwayne Whitfield",206,108,1972
"193","Eric Williams",203,99,1972
"194","Corliss Williamson",188,86,1970
"195","George Zidek",213,113,1973
"196","Shareef Abdur-Rahim",206,102,1976
"197","Shandon Anderson",198,94,1973
"198","Dexter Boney",193,83,1970
"199","Bruce Bowen",201,83,1971
"200","Marcus Brown",190,83,1974
"201","Kobe Bryant",198,96,1978
"202","Marcus Camby",211,99,1974
"203","Erick Dampier",211,120,1975
"204","Ben Davis",206,108,1972
"205","Tony Delk",185,85,1974
"206","Nate Driggers",196,97,1973
"207","Brian Evans",203,99,1973
"208","Jamie Feick",206,115,1974
"209","Derek Fisher",185,90,1974
"210","Reggie Geary",188,84,1973
"211","Devin Gray",201,108,1972
"212","Darvin Ham",201,99,1973
"213","Steve Hamer",213,111,1973
"214","Othella Harrington",206,106,1974
"215","Michael Hawkins",183,80,1972
"216","Shane Heal",183,81,1970
"217","Mark Hendrickson",206,99,1974
"218","Allen Iverson*",183,74,1975
"219","Kerry Kittles",196,81,1974
"220","Travis Knight",213,106,1974
"221","Priest Lauderdale",224,147,1973
"222","Randy Livingston",193,94,1975
"223","Horacio Llamas",211,129,1973
"224","Matt Maloney",190,87,1971
"225","Stephon Marbury",188,81,1977
"226","Walter McCarty",208,104,1974
"227","Amal McCaskill",211,106,1973
"228","Jeff McInnis",193,86,1974
"229","Martin Muursepp",206,106,1974
"230","Steve Nash",190,88,1974
"231","Ruben Nembhard",190,94,1972
"232","Moochie Norris",185,79,1973
"233","Jermaine O'Neal",211,102,1978
"234","Ray Owes",206,101,1972
"235","Vitaly Potapenko",208,127,1975
"236","Chris Robinson",196,90,1974
"237","Roy Rogers",201,106,1971
"238","Malik Rose",201,113,1974
"239","Kevin Salvadori",213,104,1970
"240","Jason Sasser",201,102,1974
"241","Brent Scott",208,113,1971
"242","James Scott",198,81,1972
"243","Shawnelle Scott",208,113,1972
"244","Matt Steigenga",201,102,1970
"245","Joe Stephens",201,95,1973
"246","Erick Strickland",190,95,1973
"247","Samaki Walker",206,108,1976
"248","Ben Wallace",206,108,1974
"249","John Wallace",203,102,1974
"250","Jerome Williams",206,93,1973
"251","Tariq Abdul-Wahad",198,101,1974
"252","Derek Anderson",196,87,1974
"253","Chris Anstey",213,112,1975
"254","Drew Barry",196,86,1973
"255","Tony Battie",211,104,1976
"256","Chauncey Billups",190,91,1976
"257","Etdrick Bohannon",206,99,1973
"258","Keith Booth",198,102,1974
"259","Rick Brunson",193,86,1972
"260","Kelvin Cato",211,115,1974
"261","Keith Closs",221,96,1976
"262","James Collins",193,88,1973
"263","Chris Crawford",206,106,1975
"264","Austin Croshere",206,106,1975
"265","William Cunningham",211,113,1974
"266","Antonio Daniels",193,88,1975
"267","Tim Duncan",211,113,1976
"268","Tony Farmer",206,110,1970
"269","Danny Fortson",201,117,1976
"270","Adonal Foyle",208,113,1975
"271","Lawrence Funderburke",206,104,1970
