"","X","match_id","match_clock","quarter","quarter_clock","shot_clock","shooter_id","shooter_lastname","shooter_firstname","shooter_team_id","event_id","shot_outcome","shooter_X","shooter_Y","defender_id","defender_lastname","defender_firstname","defender_team_id","defender_X","defender_Y","distance","shooter_height","defender_height","height_difference","shot_dist","def_angle","LeftOrRight"
"2",2,21500003,2791.81,1,631.81,18.38,201939,"Curry","Stephen",1610612744,9,0,29.25529,38.54671,203076,"Davis","Anthony",1610612740,23.46322,35.95925,6.34373897134017,190,NA,NA,27.5638767195074,5.36549811936055,"Left"
"8",8,21500003,2492.61,1,332.61,7.09,201967,"Cunningham","Dante",1610612740,48,1,85.03566,1.15085,203084,"Barnes","Harrison",1610612744,84.02075,16.04999,14.9336671667645,203,NA,NA,24.1366583718231,12.7491984689396,"Left"
"10",10,21500003,2399.56,1,239.56,16.13,201939,"Curry","Stephen",1610612744,69,1,23.78807,8.85783,203076,"Davis","Anthony",1610612740,19.49169,14.61139,7.18069173394876,190,NA,NA,24.5810840207221,12.2020702545454,"Right"
"11",11,21500003,2371.74,1,211.74,12.26,203084,"Barnes","Harrison",1610612744,75,0,6.77627,2.25312,201967,"Cunningham","Dante",1610612740,5.89915,13.9455,11.7252330279104,NA,203,NA,22.7980273235932,0.451408510661082,"Right"
"13",13,21500003,2342.26,1,182.26,21.68,203084,"Barnes","Harrison",1610612744,84,0,7.59145,2.66871,202397,"Smith","Ish",1610612740,8.77535,20.07857,17.4500671755039,NA,183,NA,22.4537057334998,9.87584942395672,"Right"
"14",14,21500003,2267.55,1,107.55,20.1,201569,"Gordon","Eric",1610612740,104,0,71.05801,6.45491,203084,"Barnes","Harrison",1610612744,77.16071,13.19069,9.08920675848008,193,NA,NA,25.6305847234939,1.47441449549969,"Left"
"15",15,21500003,2219.96,1,59.96,16.95,202397,"Smith","Ish",1610612740,112,1,67.82986,37.92453,203084,"Barnes","Harrison",1610612744,68.60043,31.05429,6.91331872420909,183,NA,NA,24.59056187525,51.8925129938881,"Right"
"19",19,21500003,1777.28,2,337.28,7.88,203110,"Green","Draymond",1610612744,215,1,27.94179,15.29608,203076,"Davis","Anthony",1610612740,22.57094,18.74973,6.38543092085413,201,NA,NA,24.6796150045032,9.58898185047537,"Right"
"24",24,21500003,1593.31,2,153.31,13.05,201967,"Cunningham","Dante",1610612740,252,1,81.46392,47.35883,203084,"Barnes","Harrison",1610612744,82.79925,39.67173,7.80221844214195,203,NA,NA,23.5160421996411,8.19471148558061,"Right"
"28",28,21500003,1345.39,3,625.39,18.5,203110,"Green","Draymond",1610612744,300,0,72.65427,45.8064,203076,"Davis","Anthony",1610612740,75.34453,35.4908,10.6606332939277,201,NA,NA,26.305490020011,23.1084720555253,"Right"
"32",32,21500003,962.96,3,242.96,16.95,203076,"Davis","Anthony",1610612740,385,0,29.5428,30.21592,203105,"Ezeli","Festus",1610612744,18.81559,27.47295,11.0723492902365,NA,211,NA,24.8464474983125,2.22528946995367,"Left"
"34",34,21500003,841.49,3,121.49,22.09,203084,"Barnes","Harrison",1610612744,417,1,68.86411,40.44525,202087,"Gee","Alonzo",1610612740,75.37938,28.07719,13.9791863617487,NA,198,NA,25.1794433745983,24.3842806689474,"Right"
"38",38,21500003,345.04,4,345.04,7.23,2733,"Livingston","Shaun",1610612744,522,0,64.59165,22.85985,203076,"Davis","Anthony",1610612740,75.39864,19.76982,11.240076434838,201,NA,NA,24.2529609892277,21.0192866067064,"Right"
"40",40,21500003,236.95,4,236.95,6.13,203084,"Barnes","Harrison",1610612744,542,0,86.90348,1.64086,202397,"Smith","Ish",1610612740,87.61968,8.71531,7.11061075031533,NA,183,NA,23.4320092533696,1.26100541459976,"Left"
"41",41,21500003,66.88,4,66.88,10,201583,"Anderson","Ryan",1610612740,571,0,32.44545,31.84696,203949,"McAdoo","James Michael",1610612744,25.02656,26.67371,9.04447037667768,208,NA,NA,28.044132397778,20.7567897827118,"Left"
"46",3,21500035,2684.01,1,524.01,11.32,203110,"Green","Draymond",1610612744,33,1,62.41766,29.56177,203076,"Davis","Anthony",1610612740,70.03495,29.22713,7.6246370978362,201,NA,NA,26.7245556634437,7.31279828632317,"Right"
"47",4,21500035,2659.42,1,499.42,7.75,203076,"Davis","Anthony",1610612740,34,0,4.24897,1.44802,203110,"Green","Draymond",1610612744,4.95771,6.44468,5.0466745033933,NA,201,NA,23.5732437942108,5.63935816640748,"Right"
"48",5,21500035,2625.41,1,465.41,16.07,201939,"Curry","Stephen",1610612744,43,1,65.15467,45.19771,203076,"Davis","Anthony",1610612740,69.97414,39.85768,7.19327543486276,190,NA,NA,31.0594122135787,7.36952232097151,"Right"
"57",14,21500035,1883.76,2,443.76,12.72,203084,"Barnes","Harrison",1610612744,201,0,64.55667,32.4725,201569,"Gordon","Eric",1610612740,73.61358,36.3698,9.85984614677633,NA,193,NA,25.3210480181785,40.4469522003662,"Left"
"71",28,21500035,1307.11,3,587.11,17.67,203076,"Davis","Anthony",1610612740,345,1,64.27283,21.48218,203110,"Green","Draymond",1610612744,73.35,20.90945,9.09522044052809,NA,201,NA,24.728665729499,11.788785567081,"Right"
"72",29,21500035,1274.92,3,554.92,3.79,201939,"Curry","Stephen",1610612744,351,1,29.12455,38.70614,203076,"Davis","Anthony",1610612740,24.0351,35.7321,5.8946938193684,190,NA,NA,27.5291193357525,0.440344812731309,"Left"
