"","X","match_id","match_clock","quarter","quarter_clock","shot_clock","shooter_id","shooter_lastname","shooter_firstname","shooter_team_id","event_id","shot_outcome","shooter_X","shooter_Y","defender_id","defender_lastname","defender_firstname","defender_team_id","defender_X","defender_Y","distance","shooter_height","defender_height","height_difference","shot_dist","def_angle","LeftOrRight"
"1",2,21500003,2791.81,1,631.81,18.38,201939,"Curry","Stephen",1610612744,9,0,29.25529,38.54671,203076,"Davis","Anthony",1610612740,23.46322,35.95925,6.343738971,190,208,-18,27.56387672,5.365498119,"Left"
"3",10,21500003,2399.56,1,239.56,16.13,201939,"Curry","Stephen",1610612744,69,1,23.78807,8.85783,203076,"Davis","Anthony",1610612740,19.49169,14.61139,7.180691734,190,208,-18,24.58108402,12.20207025,"Right"
"18",5,21500035,2625.41,1,465.41,16.07,201939,"Curry","Stephen",1610612744,43,1,65.15467,45.19771,203076,"Davis","Anthony",1610612740,69.97414,39.85768,7.193275435,190,208,-18,31.05941221,7.369522321,"Right"
"21",29,21500035,1274.92,3,554.92,3.79,201939,"Curry","Stephen",1610612744,351,1,29.12455,38.70614,203076,"Davis","Anthony",1610612740,24.0351,35.7321,5.894693819,190,208,-18,27.52911934,0.4403448127,"Left"
"22",31,21500035,1183.21,3,463.21,18.16,201939,"Curry","Stephen",1610612744,363,1,28.37269,38.08932,203076,"Davis","Anthony",1610612740,22.26182,33.39112,7.708165501,190,208,-18,26.57045523,8.040659762,"Left"
"34",27,21500051,1053.47,3,333.47,17.89,201939,"Curry","Stephen",1610612744,341,1,79.87142,47.39061,2440,"Barnes","Matt",1610612763,88.96789,45.73868,9.245249547,190,201,-11,24.08668925,58.07730677,"Right"
"45",13,21500069,1916.34,2,476.34,24,201939,"Curry","Stephen",1610612744,202,1,32.07122,18.36314,200755,"Redick","JJ",1610612746,19.15241,22.16596,13.46688872,190,193,-3,27.6301602,2.503930406,"Right"
"76",8,21500104,1887.37,2,447.37,16.22,201939,"Curry","Stephen",1610612744,159,1,16.8684,47.28699,202694,"Morris","Marcus",1610612765,18.19831,42.59662,4.87526731,190,206,-16,25.13358593,43.36360223,"Left"
"77",11,21500104,1691.12,2,251.12,18.05,201939,"Curry","Stephen",1610612744,192,0,18.25392,4.59077,1626169,"Johnson","Stanley",1610612765,21.57854,11.46553,7.636453575,190,201,-11,24.19997117,58.31192384,"Right"
"103",1,21500144,2814.71,1,654.71,7.12,201939,"Curry","Stephen",1610612744,8,0,84.34259,2.06118,2207,"Johnson","Joe",1610612751,81.30337,9.11732,7.682836059,190,201,-11,23.35839733,34.1786362,"Left"
